,ER CDX HY 5Y,ER CDX IG 5Y,ER CDX IG 10Y,ER CDX EM 5Y,ER ITRX MAIN 10Y,ER ITRX MAIN 5Y,ER ITRX XOVER 5Y,ER ITRX SNRFIN 5Y,ER ITRX SUBFIN 5Y,ER HYG,ER EMB,ER LQD,ER VCIT,ER IEI,ER IEF,ER RSP,ER IBCN,ER IEAC,ER IHYG,ER BKLN,ER HY Eqty,ER IG Eqty,ER SPY,ER EEM,ER IWM,ER IJH,ER SPX,ER RTY,ER SX5E
2019-09-26,258.8892821108,118.8288676073,109.6671190105,155.6493685557,118.3052641021,119.5891449077,257.6918694973,119.9425888651,142.6500166063,,,,,,,,,,,,,,,,,,270.0,231.16,1080.828
2019-09-27,258.2298697489,118.7576946972,109.5608888892,155.4651325007,118.2512373948,119.5605673754,257.4096355524,120.0078070882,142.6179510789,0.9987889385581175,0.9986261820132887,1.0001839146855074,1.001156408389188,1.0011342816228175,1.0013749374740093,0.9964290184498995,1.0007424328954884,0.99964988057388,0.9998910564604925,0.9977387334217507,0.9894228508771931,0.9977429893702366,0.9945619612794612,0.9870757151242814,0.9919428666272915,0.992858069358178,268.48,229.19,1084.823
2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,259.1114852469,118.8817263794,109.7651915742,155.8728231769,118.4042008484,119.6586524347,257.8209701866,120.1539810745,143.0044702758,0.9998673266307172,0.999631810592625,1.0034245077396333,1.002409272448747,1.0017134731983723,1.0021240424991267,1.0011005975835547,1.0001713306681896,1.0007468608678902,1.0001627852909971,0.9985702032415191,0.999896406347173,1.0009994280641445,0.9991220293682969,0.9926099239516613,0.9930717109380803,1.0000516743390213,269.81,229.33,1092.506
2019-10-01,258.5359879668,118.8430502555,109.669789946,155.6803785848,118.4218961148,119.6613383931,257.4785034147,120.1724161253,143.0459686266,0.997517693299865,0.9948182382593956,1.00451113670834,1.0046109343121956,1.0040311460528124,1.0048400915010751,0.9854871687004444,0.9998857795545404,1.0015468176055689,1.0003415188339364,0.9980760148705062,0.978793738874901,0.9848036188485734,0.9871855629270128,0.9855148559955892,0.9735311298876423,0.981160821386402,266.12,224.56,1079.291
2019-10-02,257.2440709648,118.6866194331,109.4028584442,155.3894315473,118.0820999394,119.5070428024,256.5735633957,119.9716995978,142.5372134814,0.9915971722529495,0.994589863382958,1.004056336799416,1.0054323070166393,1.0065903469690223,1.0082685753931115,0.9668197097349445,0.9998286693318104,0.9982755615598586,0.9966577589169255,0.9949306008034327,0.957694112034469,0.9660034408660239,0.9696964843926112,0.9779356356970741,0.9661322108259701,0.9680689676883037,260.94,222.08,1047.33
2019-10-03,257.145899954,118.7233515232,109.4138061702,155.5089113652,117.8866272338,119.3995558115,255.1891941172,119.8646743519,142.4340396795,0.9921216427282281,0.9993178159875662,1.0079467196918392,1.0096735499928466,1.0102580899965279,1.0134817827938154,0.9738093884270193,,0.9995318041363004,0.9941473352171561,0.9970899998442638,0.9576454292504406,0.9704660279421741,0.9775916603596349,0.990513848740778,0.9692980721667454,0.9735569029449048,263.77,223.6,1046.716
2019-10-04,258.2238567461,118.8580260205,109.6615147003,155.7433107026,117.9807155552,119.4953696312,255.7601094182,119.9296282907,142.7688051044,0.9951708941724385,1.0080276020374717,1.012065202493893,1.0109313247061622,1.0109976789098294,1.0153931486745613,0.9845956965097726,1.0002284408909194,1.0004848924746785,0.993756214659686,0.995271701334737,0.9681205910993489,0.9801416767233959,0.9907711310838616,0.9948347581213726,0.9784342406948525,0.9832360087672684,267.32,225.65,1053.476
2019-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-07,258.1285469516,118.8313022076,109.6000980266,155.3958159651,118.0017475834,119.5085013727,255.4654537054,119.9590413569,142.7843274968,0.9943112977049753,1.0023142478051987,1.0068843769445,1.0079056818581142,1.0086528914635602,1.0119521972661436,0.9792673310609482,1.0001713306681896,0.9995822425057188,0.992976366452159,0.9938955344195244,0.9785946971282748,0.9764831345914964,0.9864462694252931,0.9865285735885988,0.9766790431930013,0.9782706381189357,266.1,225.4,1061.774
2019-10-08,257.3069857678,118.7176409656,109.4313588224,155.285456744,117.8176337259,119.4268901146,254.7037145448,119.8622392846,142.5700258286,0.9905874826558443,1.0012902080965387,1.005972924357642,1.0085222312012576,1.0098671472853638,1.0140415993609606,0.9622716372187712,1.0006853226727586,1.0002375021255037,0.9903666424541034,0.9911937209128031,0.9575001764796273,0.9621990276595669,0.9710820462613415,0.9794372694468285,0.9607540400660974,0.9611983303104541,262.02,221.71,1052.555
2019-10-09,257.6998867148,118.7903444962,109.5587126248,155.5034390071,117.9914411949,119.521618356,255.6237509886,119.9883490633,142.6857433207,0.9935217811945993,1.0013277501668822,1.0063111225634673,1.00780520974646,1.0086298832866387,1.01140361808646,0.9707419450292513,0.9993717875499717,0.9988073650741571,0.9944117285243289,0.9898178944856753,0.9679737494875754,0.9694678671639143,0.9802547486928342,0.9869144156609725,0.9651005608339189,0.9674100980036273,264.42,222.79,1059.315
